EnrollmentID,StudentID,CourseID,Semester,Marks,Grade
E2124,STU1091,C113,FALL2022,49.0,C
E2125,STU1091,C107,Fall 2023,105.0,
E2126,STU1091,C105,fall 2022,-5.0,F
E2127,STU1091,C126,FALL2022,105.0,A
E2128,STU1091,C124,Spring 2023,84.0,A
E2129,STU1084,C116,fall 2022,,F
E2130,STU1084,C127,fall 2022,105.0,F
E2131,STU1084,C121,Fall 2023,41.0,a
E2132,STU1084,C104,Spring 2023,105.0,
E2133,STU1069,C112,FALL2022,-5.0,B
E2134,STU1069,C111,Spring 2023,-5.0,C
E2135,STU1069,C122,Fall 2023,,b
E2136,STU1069,C117,Fall 2022,-5.0,B
E2137,STU1073,C111,fall 2022,,b
E2138,STU1073,C108,FALL2022,,
E2139,STU1073,C121,Spring 2023,50.0,A
E2140,STU1075,C122,Spring 2023,84.0,D
E2141,STU1075,C109,FALL2022,65.0,B
E2142,STU1075,C124,Spring2023,75.0,b
E2143,STU1136,C104,fall 2022,79.0,b
E2144,STU1136,C109,Fall 2023,,Incomplete
E2145,STU1203,C105,fall 2022,50.0,a
E2146,STU1203,C117,fall 2022,-5.0,
E2147,STU1203,C127,Spring 2023,68.0,
E2148,STU1068,C121,fall 2022,105.0,F
E2149,STU1068,C124,FALL2022,74.0,B
E2150,STU1068,C119,Spring 2023,-5.0,F
E2151,STU1068,C114,Spring 2023,59.0,
E2152,STU1068,C117,Fall 2022,-5.0,
E2153,STU1147,C125,Fall 2022,105.0,D
E2154,STU1147,C116,Spring2023,63.0,b
E2155,STU1147,C110,Fall 2023,65.0,C
E2156,STU1147,C101,Spring 2023,-5.0,b
E2157,STU1147,C114,Spring2023,-5.0,D
E2158,STU1095,C110,Fall 2022,-5.0,D
E2159,STU1095,C121,Fall 2023,,B
E2160,STU1095,C124,Fall 2023,-5.0,F
E2161,STU1095,C118,Fall 2022,71.0,a
E2162,STU1171,C102,Spring 2023,,F
E2163,STU1171,C118,Fall 2022,85.0,D
E2164,STU1171,C101,fall 2022,-5.0,D
E2165,STU1220,C110,Fall 2022,84.0,a
E2166,STU1220,C126,fall 2022,88.0,A
E2167,STU1220,C116,FALL2022,89.0,
E2168,STU1220,C112,Fall 2022,,b
E2169,STU1220,C115,FALL2022,89.0,b
E2170,STU1153,C124,Fall 2023,69.0,
E2171,STU1153,C102,fall 2022,-5.0,F
E2172,STU1153,C107,Spring2023,50.0,
E2173,STU1066,C109,Fall 2022,59.0,a
E2174,STU1066,C116,Spring 2023,82.0,B
E2175,STU1009,C111,Fall 2022,-5.0,D
E2176,STU1009,C101,fall 2022,-5.0,C
E2177,STU1009,C106,FALL2022,45.0,C
E2178,STU1009,C126,Fall 2023,105.0,a
E2179,STU1009,C109,Fall 2023,,C
E2180,STU1088,C105,FALL2022,105.0,a
E2181,STU1088,C116,fall 2022,86.0,b
E2182,STU1110,C109,Spring2023,105.0,F
E2183,STU1110,C102,Spring2023,71.0,C
E2184,STU1110,C116,Spring2023,-5.0,F
E2185,STU1138,C103,fall 2022,,
E2186,STU1138,C117,Fall 2023,105.0,b
E2187,STU1138,C105,Spring2023,51.0,a
E2188,STU1162,C111,Spring2023,-5.0,D
E2189,STU1162,C124,Spring2023,105.0,C
E2190,STU1162,C103,Fall 2022,-5.0,a
E2191,STU1045,C117,Fall 2022,42.0,C
E2192,STU1045,C122,Fall 2022,-5.0,D
E2193,STU1202,C119,Spring2023,-5.0,
E2194,STU1202,C121,fall 2022,,A
E2195,STU1063,C120,Fall 2022,99.0,Incomplete
E2196,STU1063,C123,Spring2023,69.0,a
E2197,STU1063,C103,Fall 2023,-5.0,a
E2198,STU1150,C127,fall 2022,57.0,B
E2199,STU1150,C120,Fall 2022,100.0,
E2200,STU1050,C124,Spring2023,64.0,D
E2201,STU1050,C108,Spring2023,105.0,C
E2202,STU1086,C124,Fall 2022,-5.0,b
E2203,STU1086,C104,FALL2022,90.0,
E2204,STU1086,C125,Spring2023,61.0,
E2205,STU1086,C121,Spring2023,,a
E2206,STU1086,C119,Fall 2023,,b
E2207,STU1060,C127,Spring2023,74.0,b
E2208,STU1060,C124,FALL2022,,a
E2209,STU1060,C111,fall 2022,68.0,A
E2210,STU1060,C120,fall 2022,105.0,C
E2211,STU1060,C108,fall 2022,59.0,D
E2212,STU1169,C125,Spring2023,,
E2213,STU1169,C127,Fall 2022,105.0,C
E2214,STU1056,C115,Spring2023,,a
E2215,STU1056,C112,Fall 2022,,F
E2216,STU1123,C119,Fall 2023,70.0,Incomplete
E2217,STU1123,C107,Fall 2022,84.0,F
E2218,STU1123,C124,Fall 2022,105.0,b
E2219,STU1123,C103,FALL2022,,a
E2220,STU1123,C111,Fall 2023,66.0,D
E2221,STU1102,C121,Spring2023,80.0,F
E2222,STU1102,C125,fall 2022,105.0,C
E2223,STU1094,C105,Fall 2022,-5.0,
E2224,STU1094,C102,Spring 2023,,b
E2225,STU1094,C122,Spring2023,48.0,Incomplete
E2226,STU1210,C118,FALL2022,-5.0,
E2227,STU1210,C113,FALL2022,84.0,C
E2228,STU1065,C116,Spring 2023,105.0,
E2229,STU1065,C113,fall 2022,,b
E2230,STU1065,C121,Fall 2022,105.0,B
E2231,STU1194,C114,fall 2022,,C
E2232,STU1194,C112,FALL2022,-5.0,C
E2233,STU1194,C107,Fall 2023,99.0,D
E2234,STU1194,C111,Fall 2023,63.0,B
E2235,STU1194,C120,fall 2022,105.0,C
E2236,STU1108,C111,FALL2022,,Incomplete
E2237,STU1108,C123,Spring 2023,61.0,
E2238,STU1116,C118,Fall 2023,-5.0,C
E2239,STU1116,C117,Spring2023,84.0,b
E2240,STU1116,C125,fall 2022,105.0,A
E2241,STU1120,C102,Fall 2022,105.0,F
E2242,STU1120,C110,FALL2022,69.0,B
E2243,STU1120,C107,Fall 2022,,B
E2244,STU1054,C121,Spring2023,,Incomplete
E2245,STU1054,C113,Spring2023,45.0,D
E2246,STU1054,C108,Spring 2023,69.0,A
E2247,STU1054,C117,FALL2022,,a
E2248,STU1209,C124,Spring2023,,D
E2249,STU1209,C106,FALL2022,57.0,F
E2250,STU1209,C101,fall 2022,96.0,
E2251,STU1209,C112,Fall 2023,,b
E2252,STU1209,C122,Fall 2023,-5.0,
E2253,STU1101,C114,FALL2022,,a
E2254,STU1101,C108,Spring2023,48.0,C
E2255,STU1101,C119,fall 2022,83.0,C
E2256,STU1158,C114,fall 2022,105.0,C
E2257,STU1158,C125,Spring 2023,105.0,B
E2258,STU1158,C105,fall 2022,93.0,A
E2259,STU1119,C114,Spring 2023,,C
E2260,STU1119,C110,Spring2023,48.0,A
E2261,STU1119,C115,Spring2023,105.0,D
E2262,STU1119,C124,Fall 2022,54.0,a
E2263,STU1119,C127,Spring2023,-5.0,C
E2264,STU1028,C123,Spring 2023,70.0,C
E2265,STU1028,C121,fall 2022,-5.0,A
E2266,STU1028,C112,Spring 2023,66.0,D
E2267,STU1028,C106,Fall 2023,-5.0,Incomplete
E2268,STU1028,C113,FALL2022,-5.0,D
E2269,STU1051,C125,Spring2023,,b
E2270,STU1051,C102,Spring2023,105.0,
E2271,STU1051,C120,Fall 2022,81.0,
E2272,STU1051,C124,Spring2023,68.0,D
E2273,STU1051,C127,FALL2022,74.0,
E2274,STU1228,C107,FALL2022,,F
E2275,STU1228,C110,Fall 2023,,A
E2276,STU1196,C115,Spring 2023,105.0,B
E2277,STU1196,C127,FALL2022,105.0,C
E2278,STU1196,C121,Spring 2023,-5.0,A
E2279,STU1026,C119,Fall 2022,60.0,B
E2280,STU1026,C123,Fall 2022,-5.0,a
E2281,STU1026,C107,Spring2023,-5.0,
E2282,STU1026,C115,FALL2022,-5.0,
E2283,STU1026,C103,Spring2023,89.0,a
E2284,STU1079,C106,fall 2022,-5.0,F
E2285,STU1079,C105,Fall 2023,-5.0,F
E2286,STU1079,C125,Fall 2022,47.0,D
E2287,STU1033,C101,Spring 2023,105.0,Incomplete
E2288,STU1033,C115,FALL2022,-5.0,Incomplete
E2289,STU1033,C116,Spring 2023,105.0,A
E2290,STU1033,C118,Spring 2023,,
E2291,STU1093,C106,Spring 2023,,A
E2292,STU1093,C105,fall 2022,105.0,F
E2293,STU1129,C102,Spring2023,51.0,F
E2294,STU1129,C104,Spring 2023,105.0,
E2295,STU1018,C124,FALL2022,,a
E2296,STU1018,C119,Fall 2022,-5.0,
E2297,STU1018,C112,Fall 2023,70.0,B
E2298,STU1018,C102,FALL2022,,
E2299,STU1018,C103,Fall 2022,53.0,A
E2300,STU1178,C116,Spring2023,,b
E2301,STU1178,C124,Spring2023,,
E2302,STU1022,C105,Spring 2023,-5.0,Incomplete
E2303,STU1022,C120,Spring 2023,79.0,F
E2304,STU1022,C119,Fall 2023,40.0,Incomplete
E2305,STU1022,C116,FALL2022,47.0,b
E2306,STU1006,C111,Fall 2023,91.0,A
E2307,STU1006,C112,Fall 2022,,F
E2308,STU1199,C110,fall 2022,89.0,a
E2309,STU1199,C117,Spring 2023,105.0,A
E2310,STU1199,C118,FALL2022,,Incomplete
E2311,STU1199,C111,Spring 2023,42.0,Incomplete
E2312,STU1090,C118,fall 2022,66.0,
E2313,STU1090,C111,Spring2023,,
E2314,STU1090,C115,fall 2022,105.0,a
E2315,STU1090,C126,fall 2022,,A
E2316,STU1090,C127,Spring2023,105.0,C
E2317,STU1048,C106,fall 2022,,A
E2318,STU1048,C120,fall 2022,-5.0,D
E2319,STU1048,C104,Spring2023,,D
E2320,STU1048,C126,Fall 2022,59.0,a
E2321,STU1048,C125,Spring2023,89.0,Incomplete
E2322,STU1214,C126,fall 2022,72.0,D
E2323,STU1214,C116,fall 2022,105.0,F
E2324,STU1071,C125,Fall 2023,73.0,D
E2325,STU1071,C104,Fall 2022,-5.0,
E2326,STU1071,C127,fall 2022,40.0,B
E2327,STU1038,C102,Fall 2023,87.0,F
E2328,STU1038,C104,Spring 2023,,D
E2329,STU1038,C117,FALL2022,105.0,a
E2330,STU1038,C125,Spring 2023,,C
E2331,STU1038,C122,Spring2023,57.0,
E2332,STU1082,C107,Spring 2023,,F
E2333,STU1082,C118,Spring 2023,,D
E2334,STU1046,C110,Fall 2022,105.0,Incomplete
E2335,STU1046,C120,Fall 2022,-5.0,A
E2336,STU1182,C102,Spring2023,105.0,Incomplete
E2337,STU1182,C103,Fall 2023,,D
E2338,STU1182,C114,FALL2022,105.0,B
E2339,STU1182,C113,Fall 2022,76.0,Incomplete
E2340,STU1182,C106,Spring 2023,-5.0,Incomplete
E2341,STU1132,C105,Fall 2023,-5.0,C
E2342,STU1132,C120,FALL2022,,a
E2343,STU1132,C109,Fall 2022,71.0,Incomplete
E2344,STU1163,C116,Spring2023,105.0,C
E2345,STU1163,C115,Spring2023,46.0,a
E2346,STU1163,C106,FALL2022,,
E2347,STU1163,C110,Spring2023,-5.0,D
E2348,STU1183,C118,Fall 2023,,D
E2349,STU1183,C106,Spring2023,-5.0,a
E2350,STU1183,C116,Fall 2023,55.0,B
E2351,STU1215,C104,fall 2022,-5.0,C
E2352,STU1215,C119,Fall 2023,105.0,B
E2353,STU1215,C120,FALL2022,-5.0,a
E2354,STU1215,C115,Spring 2023,81.0,B
E2355,STU1215,C111,Spring 2023,105.0,A
E2356,STU1154,C115,Spring 2023,105.0,Incomplete
E2357,STU1154,C118,Spring2023,,F
E2358,STU1154,C110,Fall 2023,,b
E2359,STU1015,C103,Fall 2022,65.0,F
E2360,STU1015,C119,Fall 2022,105.0,A
E2361,STU1015,C101,fall 2022,,B
E2362,STU1015,C120,Fall 2023,41.0,b
E2363,STU1223,C121,Spring 2023,53.0,Incomplete
E2364,STU1223,C111,FALL2022,-5.0,a
E2365,STU1223,C123,Fall 2022,58.0,C
E2366,STU1223,C113,Fall 2023,44.0,C
E2367,STU1223,C114,Fall 2022,-5.0,C
E2368,STU1112,C121,Spring2023,105.0,b
E2369,STU1112,C126,Spring2023,105.0,b
E2370,STU1112,C114,Spring 2023,-5.0,a
E2371,STU1221,C114,fall 2022,71.0,
E2372,STU1221,C120,Fall 2022,105.0,a
E2373,STU1221,C101,Fall 2022,-5.0,a
E2374,STU1156,C123,Spring2023,,Incomplete
E2375,STU1156,C103,Spring 2023,105.0,B
E2376,STU1156,C105,Spring2023,70.0,
E2377,STU1156,C124,Spring2023,59.0,a
E2378,STU1156,C117,Spring2023,-5.0,Incomplete
E2379,STU1213,C119,Fall 2022,,C
E2380,STU1213,C124,Fall 2023,105.0,F
E2381,STU1213,C111,Fall 2023,,A
E2382,STU1213,C114,Fall 2023,77.0,A
E2383,STU1213,C112,fall 2022,105.0,A
E2384,STU1192,C103,fall 2022,105.0,F
E2385,STU1192,C105,Spring2023,94.0,B
E2386,STU1192,C117,Fall 2023,105.0,C
E2387,STU1192,C126,Fall 2023,63.0,F
E2388,STU1192,C109,Fall 2022,71.0,
E2389,STU1077,C103,FALL2022,-5.0,b
E2390,STU1077,C105,Spring 2023,-5.0,C
E2391,STU1077,C120,Fall 2023,,A
E2392,STU1077,C127,Spring 2023,56.0,A
E2393,STU1080,C113,Fall 2023,74.0,b
E2394,STU1080,C116,Spring 2023,-5.0,F
E2395,STU1080,C110,fall 2022,-5.0,A
E2396,STU1080,C124,Fall 2023,-5.0,b
E2397,STU1080,C125,Spring2023,60.0,B
E2398,STU1188,C114,fall 2022,,B
E2399,STU1188,C120,Fall 2023,-5.0,Incomplete
E2400,STU1188,C121,Spring2023,105.0,D
E2401,STU1188,C109,Spring2023,83.0,a
E2402,STU1155,C122,Fall 2022,93.0,b
E2403,STU1155,C101,Spring 2023,-5.0,a
E2404,STU1161,C109,Spring2023,79.0,D
E2405,STU1161,C107,Spring2023,80.0,B
E2406,STU1161,C102,Fall 2022,105.0,C
E2407,STU1161,C101,FALL2022,,F
E2408,STU1059,C121,fall 2022,-5.0,a
E2409,STU1059,C115,Fall 2022,50.0,F
E2410,STU1109,C113,FALL2022,-5.0,B
E2411,STU1109,C111,Spring 2023,105.0,b
E2412,STU1109,C102,Spring2023,81.0,C
E2413,STU1109,C109,FALL2022,67.0,B
E2414,STU1109,C127,Fall 2022,85.0,A
E2415,STU1205,C119,FALL2022,-5.0,A
E2416,STU1205,C124,Fall 2023,49.0,A
E2417,STU1105,C109,FALL2022,105.0,Incomplete
E2418,STU1105,C105,Spring 2023,67.0,
E2419,STU1105,C123,Spring2023,-5.0,B
E2420,STU1105,C111,Fall 2023,,a
E2421,STU1105,C113,fall 2022,59.0,B
E2422,STU1007,C103,Spring2023,58.0,C
E2423,STU1007,C127,Fall 2023,64.0,F
E2424,STU1007,C115,FALL2022,64.0,a
E2425,STU1007,C125,Spring 2023,-5.0,D
E2426,STU1185,C107,FALL2022,77.0,Incomplete
E2427,STU1185,C101,FALL2022,105.0,F
E2428,STU1227,C101,Fall 2023,42.0,D
E2429,STU1227,C102,Spring 2023,-5.0,
E2430,STU1227,C111,Fall 2022,77.0,B
E2431,STU1227,C126,FALL2022,-5.0,A
E2432,STU1227,C124,Spring 2023,105.0,A
E2433,STU1044,C101,FALL2022,,B
E2434,STU1044,C106,Fall 2022,105.0,B
E2435,STU1044,C121,Fall 2022,105.0,D
E2436,STU1122,C114,Fall 2022,-5.0,a
E2437,STU1122,C111,fall 2022,105.0,C
E2438,STU1122,C126,Spring2023,90.0,A
E2439,STU1117,C111,Fall 2023,-5.0,C
E2440,STU1117,C103,Spring 2023,75.0,Incomplete
E2441,STU1117,C104,Fall 2022,99.0,C
E2442,STU1053,C125,Fall 2023,40.0,B
E2443,STU1053,C106,Fall 2023,,b
E2444,STU1053,C101,Spring 2023,-5.0,C
E2445,STU1053,C116,FALL2022,,
E2446,STU1053,C103,Spring2023,55.0,A
E2447,STU1078,C123,FALL2022,,a
E2448,STU1078,C116,Fall 2022,75.0,D
E2449,STU1078,C120,Spring2023,105.0,a
E2450,STU1024,C115,Spring 2023,,A
E2451,STU1024,C125,FALL2022,90.0,Incomplete
E2452,STU1024,C121,Fall 2023,51.0,A
E2453,STU1001,C110,Fall 2022,-5.0,A
E2454,STU1001,C107,Spring 2023,105.0,C
E2455,STU1001,C114,Fall 2022,-5.0,
E2456,STU1001,C109,Spring2023,97.0,Incomplete
E2457,STU1010,C114,fall 2022,60.0,B
E2458,STU1010,C107,Spring 2023,46.0,b
E2459,STU1010,C124,FALL2022,97.0,B
E2460,STU1010,C122,Spring 2023,77.0,b
E2461,STU1204,C120,Fall 2023,63.0,Incomplete
E2462,STU1204,C115,Spring 2023,,F
E2463,STU1204,C106,fall 2022,61.0,A
E2464,STU1149,C104,fall 2022,,D
E2465,STU1149,C115,Spring2023,105.0,C
E2466,STU1149,C114,FALL2022,94.0,B
E2467,STU1225,C107,Spring 2023,-5.0,D
E2468,STU1225,C119,Spring2023,105.0,D
E2469,STU1225,C116,FALL2022,105.0,A
E2470,STU1225,C127,Fall 2022,-5.0,
E2471,STU1225,C115,Fall 2023,-5.0,Incomplete
E2472,STU1005,C115,Fall 2023,105.0,A
E2473,STU1005,C116,fall 2022,66.0,C
E2474,STU1142,C108,Fall 2023,,C
E2475,STU1142,C121,FALL2022,105.0,A
E2476,STU1142,C103,Spring 2023,89.0,b
E2477,STU1142,C101,Fall 2023,,Incomplete
E2478,STU1031,C121,Fall 2022,,
E2479,STU1031,C103,Spring2023,,
E2480,STU1198,C126,Spring2023,,A
E2481,STU1198,C122,Fall 2022,,A
E2482,STU1198,C103,fall 2022,-5.0,A
E2483,STU1144,C106,fall 2022,75.0,C
E2484,STU1144,C121,Fall 2023,55.0,Incomplete
E2485,STU1144,C118,Fall 2023,105.0,D
E2486,STU1144,C123,fall 2022,,a
E2487,STU1128,C109,FALL2022,105.0,B
E2488,STU1128,C102,FALL2022,105.0,F
E2489,STU1128,C103,FALL2022,79.0,D
E2490,STU1128,C112,fall 2022,-5.0,C
E2491,STU1128,C115,Fall 2022,46.0,F
E2492,STU1023,C116,FALL2022,73.0,F
E2493,STU1023,C105,fall 2022,74.0,Incomplete
E2494,STU1023,C107,Spring 2023,66.0,F
E2495,STU1115,C101,FALL2022,105.0,a
E2496,STU1115,C126,Spring2023,,Incomplete
E2497,STU1114,C115,FALL2022,,D
E2498,STU1114,C110,fall 2022,63.0,C
E2499,STU1114,C119,Fall 2023,69.0,C
E2500,STU1114,C105,Fall 2023,58.0,C
E2501,STU1114,C126,Spring 2023,97.0,C
E2502,STU1118,C102,fall 2022,-5.0,F
E2503,STU1118,C111,Fall 2023,105.0,A
E2504,STU1021,C112,Fall 2022,,B
E2505,STU1021,C105,FALL2022,-5.0,C
E2506,STU1021,C115,Fall 2023,60.0,A
E2507,STU1021,C118,FALL2022,,F
E2508,STU1061,C125,Fall 2023,-5.0,a
E2509,STU1061,C119,Spring 2023,-5.0,A
E2510,STU1061,C122,Fall 2022,83.0,F
E2511,STU1061,C105,fall 2022,79.0,Incomplete
E2512,STU1104,C111,Spring 2023,81.0,
E2513,STU1104,C102,Fall 2022,,D
E2514,STU1097,C118,FALL2022,83.0,
E2515,STU1097,C115,Fall 2022,,
E2516,STU1141,C113,fall 2022,,A
E2517,STU1141,C105,Spring2023,,Incomplete
E2518,STU1141,C123,FALL2022,-5.0,b
E2519,STU1141,C114,Spring 2023,-5.0,b
E2520,STU1189,C105,Fall 2022,105.0,a
E2521,STU1189,C107,Fall 2022,-5.0,B
E2522,STU1164,C121,Spring 2023,105.0,C
E2523,STU1164,C109,Spring2023,-5.0,F
E2524,STU1164,C114,FALL2022,,F
E2525,STU1164,C106,Fall 2022,-5.0,D
E2526,STU1164,C118,fall 2022,40.0,F
E2527,STU1013,C104,Fall 2022,71.0,A
E2528,STU1013,C121,Spring2023,-5.0,B
E2529,STU1013,C122,Spring2023,105.0,Incomplete
E2530,STU1013,C110,Fall 2023,,Incomplete
E2531,STU1013,C114,Fall 2023,,
E2532,STU1072,C109,FALL2022,43.0,a
E2533,STU1072,C106,Spring 2023,84.0,a
E2534,STU1085,C109,fall 2022,,A
E2535,STU1085,C112,Spring 2023,58.0,
E2536,STU1062,C125,fall 2022,105.0,a
E2537,STU1062,C104,Fall 2023,,F
E2538,STU1062,C120,Spring2023,,B
E2539,STU1083,C127,fall 2022,-5.0,b
E2540,STU1083,C105,Spring 2023,98.0,B
E2541,STU1083,C101,Spring2023,72.0,D
E2542,STU1083,C117,Fall 2023,105.0,
E2543,STU1126,C114,Fall 2022,98.0,C
E2544,STU1126,C115,Spring 2023,,a
E2545,STU1020,C120,Spring 2023,85.0,B
E2546,STU1020,C117,fall 2022,94.0,D
E2547,STU1020,C125,FALL2022,53.0,B
E2548,STU1020,C111,Fall 2022,84.0,B
E2549,STU1020,C106,Spring 2023,-5.0,A
E2550,STU1043,C102,FALL2022,105.0,A
E2551,STU1043,C126,Fall 2022,,A
E2552,STU1127,C122,Spring2023,105.0,D
E2553,STU1127,C101,Fall 2022,52.0,a
E2554,STU1127,C125,fall 2022,,a
E2555,STU1127,C104,Spring2023,105.0,D
E2556,STU1121,C104,Spring 2023,77.0,
E2557,STU1121,C127,Spring2023,,C
E2558,STU1130,C124,fall 2022,105.0,Incomplete
E2559,STU1130,C104,Fall 2023,77.0,Incomplete
E2560,STU1226,C106,Spring2023,-5.0,D
E2561,STU1226,C127,Fall 2022,54.0,a
E2562,STU1173,C104,Fall 2023,,
E2563,STU1173,C117,Fall 2022,,Incomplete
E2564,STU1173,C105,Fall 2023,-5.0,F
E2565,STU1173,C116,FALL2022,68.0,
E2566,STU1173,C125,Fall 2022,-5.0,D
E2567,STU1003,C122,Spring2023,-5.0,Incomplete
E2568,STU1003,C112,Spring 2023,82.0,B
E2569,STU1003,C106,Fall 2023,105.0,B
E2570,STU1003,C101,fall 2022,97.0,B
E2571,STU1003,C116,Fall 2022,61.0,b
E2572,STU1014,C127,Fall 2023,105.0,F
