AttendanceID,StudentID,CourseID,Date,AttendanceStatus
A3287,STU1212,C127,13/10/2023,present
A3288,STU1212,C127,2023/01/19,Absent
A3289,STU1212,C106,2023-10-29,Late
A3290,STU1212,C106,2023-03-21,P
A3291,STU1168,C115,02/01/2024,ABSENT
A3292,STU1168,C123,2023/02/05,ABSENT
A3293,STU1168,C115,2024-12-14,Absent
A3294,STU1168,C113,12-07-2024,late 
A3295,STU1227,C120,2023-01-05,Late
A3296,STU1227,C125,26/07/2023,A
A3297,STU1227,C108,2023-07-24,Present
A3298,STU1158,C101,01-15-2023,ABSENT
A3299,STU1158,C122,2024-11-16,ABSENT
A3300,STU1158,C104,11/11/2024,present
A3301,STU1158,C102,2024/03/01,Absent
A3302,STU1158,C127,12-01-2023,ABSENT
A3303,STU1158,C120,2023/08/01,Late
A3304,STU1126,C104,26/08/2023,Absent
A3305,STU1126,C112,28/11/2023,Present
A3306,STU1126,C113,10-31-2024,Present
A3307,STU1126,C113,06-Aug-2023,ABSENT
A3308,STU1126,C103,11-04-2024,A
A3309,STU1126,C102,10/03/2023,Late
A3310,STU1083,C125,05-Sep-2024,Absent
A3311,STU1083,C123,2024/07/03,present
A3312,STU1083,C109,2023/04/08,A
A3313,STU1083,C121,14-Dec-2024,present
A3314,STU1083,C111,06-29-2023,late 
A3315,STU1199,C111,2023/01/19,late 
A3316,STU1199,C113,07/06/2024,Present
A3317,STU1199,C108,2023/01/22,Absent
A3318,STU1029,C108,14/03/2024,Absent
A3319,STU1029,C102,05-21-2023,late 
A3320,STU1029,C110,26/07/2023,Late
A3321,STU1029,C107,2024-10-19,ABSENT
A3322,STU1029,C124,04-Sep-2024,A
A3323,STU1230,C109,2023-11-22,Late
A3324,STU1230,C121,2023-10-23,ABSENT
A3325,STU1230,C124,12-06-2023,ABSENT
A3326,STU1230,C107,2024-07-06,ABSENT
A3327,STU1229,C123,2023/08/16,Late
A3328,STU1229,C117,26/11/2023,late 
A3329,STU1229,C121,2023-01-07,late 
A3330,STU1229,C103,2023-07-17,present
A3331,STU1229,C107,2023-05-09,present
A3332,STU1229,C119,16/07/2024,ABSENT
A3333,STU1229,C117,22-Mar-2023,late 
A3334,STU1229,C110,18/06/2023,ABSENT
A3335,STU1170,C106,12/09/2024,P
A3336,STU1170,C110,13-Aug-2024,ABSENT
A3337,STU1170,C109,2024-05-07,A
A3338,STU1170,C113,22/01/2024,late 
A3339,STU1170,C115,2024/03/08,Late
A3340,STU1170,C125,09-Jun-2023,Present
A3341,STU1100,C114,03-27-2023,present
A3342,STU1100,C118,06-29-2023,Late
A3343,STU1100,C115,10-Nov-2023,P
A3344,STU1100,C113,2024/07/29,late 
A3345,STU1100,C103,08/12/2023,late 
A3346,STU1100,C107,08/06/2023,Present
A3347,STU1049,C117,19-Jan-2024,Late
A3348,STU1049,C114,02-09-2024,Late
A3349,STU1049,C116,2023/11/12,Absent
A3350,STU1052,C102,08-May-2023,present
A3351,STU1052,C107,03-22-2024,A
A3352,STU1052,C117,27-Dec-2024,A
A3353,STU1052,C123,01-Mar-2023,Late
A3354,STU1052,C124,10/09/2023,late 
A3355,STU1052,C102,2024-01-06,present
A3356,STU1058,C120,11/04/2024,P
A3357,STU1058,C108,2024/09/08,present
A3358,STU1058,C101,2023-04-30,Late
A3359,STU1058,C113,2024/12/24,Absent
A3360,STU1058,C117,13-Jul-2023,present
A3361,STU1220,C109,12-09-2024,Late
A3362,STU1220,C119,12-Nov-2023,Absent
A3363,STU1220,C104,2024/10/13,A
A3364,STU1220,C127,05-27-2023,ABSENT
A3365,STU1220,C124,02-12-2024,Present
A3366,STU1220,C106,2024-05-18,Absent
A3367,STU1040,C125,14-Dec-2024,Late
A3368,STU1040,C121,23-Oct-2023,present
A3369,STU1040,C106,19/01/2024,present
A3370,STU1191,C116,2023/07/06,Absent
A3371,STU1191,C115,03/08/2024,present
A3372,STU1191,C107,02/03/2023,ABSENT
A3373,STU1191,C109,23-Feb-2024,Absent
A3374,STU1003,C106,03-23-2023,Absent
A3375,STU1003,C113,05-08-2023,Absent
A3376,STU1003,C111,2023/01/31,ABSENT
A3377,STU1003,C116,2024-05-11,Present
A3378,STU1003,C102,2023-09-30,Present
A3379,STU1003,C104,2023/08/05,Present
A3380,STU1003,C113,2024/09/09,P
A3381,STU1003,C116,04-29-2024,Late
A3382,STU1201,C112,11-29-2024,A
A3383,STU1201,C127,09-03-2023,Late
A3384,STU1201,C113,2024-09-17,A
A3385,STU1201,C111,2023-04-13,late 
A3386,STU1201,C123,16/02/2024,Present
A3387,STU1110,C104,06-27-2024,ABSENT
A3388,STU1110,C112,2024/04/07,late 
A3389,STU1110,C117,28/02/2024,Present
A3390,STU1110,C121,2023-11-26,A
A3391,STU1110,C102,30-Nov-2023,ABSENT
A3392,STU1110,C120,11-May-2024,Absent
A3393,STU1110,C112,14-Mar-2024,Absent
A3394,STU1185,C113,2023/10/28,ABSENT
A3395,STU1185,C123,2023/05/27,Present
A3396,STU1185,C105,2024-05-24,P
A3397,STU1185,C127,2024/11/20,late 
A3398,STU1185,C106,2024-04-01,late 
A3399,STU1185,C122,07/07/2024,ABSENT
A3400,STU1185,C107,2023-06-24,Absent
A3401,STU1185,C114,30/01/2023,A
A3402,STU1091,C125,15/10/2023,P
A3403,STU1091,C122,2024-05-02,present
A3404,STU1091,C118,10-Oct-2024,Absent
A3405,STU1091,C126,12-09-2024,ABSENT
A3406,STU1091,C119,2024-09-07,A
A3407,STU1091,C113,2024/01/26,Late
A3408,STU1086,C108,2023-09-23,P
A3409,STU1086,C103,2023-04-25,A
A3410,STU1086,C124,29/08/2024,Absent
A3411,STU1086,C119,12/01/2024,A
A3412,STU1219,C119,01-02-2023,Present
A3413,STU1219,C119,02/07/2024,Late
A3414,STU1219,C114,11-24-2023,present
A3415,STU1219,C117,2024/11/10,ABSENT
A3416,STU1219,C104,2024-02-09,late 
A3417,STU1219,C111,05-29-2023,ABSENT
A3418,STU1142,C122,11/04/2024,P
A3419,STU1142,C105,2024-11-12,A
A3420,STU1142,C110,2024-05-29,P
A3421,STU1142,C123,10-Aug-2024,ABSENT
A3422,STU1142,C116,26-Oct-2023,Present
A3423,STU1142,C126,08/12/2023,ABSENT
A3424,STU1130,C126,2023-08-19,present
A3425,STU1130,C116,02-06-2024,present
A3426,STU1130,C101,15-Jul-2024,A
A3427,STU1130,C114,25-Nov-2024,A
A3428,STU1130,C125,05-Feb-2024,Absent
A3429,STU1130,C117,10-17-2023,ABSENT
A3430,STU1130,C123,15-Jul-2024,Absent
A3431,STU1130,C105,2023/11/28,Present
A3432,STU1039,C110,13/04/2024,present
A3433,STU1039,C115,13-Dec-2024,P
A3434,STU1039,C105,03/08/2023,ABSENT
A3435,STU1039,C124,2024-10-28,A
A3436,STU1039,C124,2024-08-12,present
A3437,STU1039,C113,13/03/2024,Present
A3438,STU1039,C104,31-Dec-2023,present
A3439,STU1039,C102,2023/05/01,A
A3440,STU1176,C114,02-Jun-2023,ABSENT
A3441,STU1176,C102,02/05/2023,Late
A3442,STU1176,C116,2023/11/06,present
A3443,STU1176,C121,2024-01-20,late 
A3444,STU1176,C127,27-Oct-2024,P
A3445,STU1176,C121,30-Oct-2024,A
A3446,STU1176,C101,2023-05-03,Absent
A3447,STU1041,C116,2024/10/18,ABSENT
A3448,STU1041,C101,2024/08/23,late 
A3449,STU1041,C109,2024-12-11,present
A3450,STU1231,C116,22-Oct-2024,P
A3451,STU1231,C119,2023-05-09,A
A3452,STU1231,C103,2024/12/31,present
A3453,STU1231,C113,2024-12-18,Late
A3454,STU1231,C118,2024/07/03,late 
A3455,STU1231,C103,2024/06/15,Absent
A3456,STU1105,C122,01/05/2023,present
A3457,STU1105,C101,22-Jul-2024,A
A3458,STU1105,C104,10/02/2023,ABSENT
A3459,STU1105,C121,2023-06-15,P
A3460,STU1112,C103,2023/05/08,P
A3461,STU1112,C112,11/07/2024,Late
A3462,STU1112,C122,01/01/2023,P
A3463,STU1032,C117,2023/10/28,late 
A3464,STU1032,C105,13-Aug-2024,A
A3465,STU1032,C117,2023/12/27,ABSENT
A3466,STU1016,C104,2024-11-09,ABSENT
A3467,STU1016,C102,12/07/2023,P
A3468,STU1016,C127,09/08/2023,ABSENT
A3469,STU1016,C119,01-03-2024,present
A3470,STU1016,C124,29-Sep-2024,Absent
A3471,STU1016,C118,09-19-2023,Late
A3472,STU1016,C121,17-Jun-2023,late 
A3473,STU1016,C103,18-Sep-2023,present
A3474,STU1136,C107,03-14-2023,ABSENT
A3475,STU1136,C123,2024/01/17,present
A3476,STU1136,C114,06-07-2023,Late
A3477,STU1136,C113,2023/01/27,ABSENT
A3478,STU1136,C103,2023-10-04,Absent
A3479,STU1136,C122,15-Jul-2024,Absent
A3480,STU1136,C111,2024-10-17,A
A3481,STU1069,C125,07/10/2023,ABSENT
A3482,STU1069,C109,2023-01-11,Late
A3483,STU1069,C108,2024-01-23,Absent
A3484,STU1069,C106,06-23-2024,late 
A3485,STU1069,C104,06-25-2024,P
A3486,STU1077,C109,2024-09-14,Present
A3487,STU1077,C106,22-Nov-2023,present
A3488,STU1077,C112,2024/11/25,Late
A3489,STU1077,C116,29/08/2024,P
A3490,STU1077,C101,2024/12/04,present
A3491,STU1077,C122,10/05/2023,Late
A3492,STU1077,C119,2023-10-01,A
A3493,STU1111,C125,2023/09/13,Late
A3494,STU1111,C123,13/04/2024,late 
A3495,STU1111,C112,2024/04/24,P
A3496,STU1111,C109,2024/03/14,ABSENT
A3497,STU1111,C110,2024-10-12,P
A3498,STU1111,C114,2023-11-17,Absent
A3499,STU1111,C103,2023-09-03,present
A3500,STU1111,C119,2023-02-28,P
A3501,STU1205,C116,11-Jan-2023,present
A3502,STU1205,C116,2024/05/24,Absent
A3503,STU1205,C113,2023/01/15,ABSENT
A3504,STU1205,C127,08-Jan-2023,A
A3505,STU1205,C108,2024/11/08,Present
A3506,STU1205,C120,04/04/2024,ABSENT
A3507,STU1205,C106,03-18-2023,present
A3508,STU1104,C112,22-Feb-2023,late 
A3509,STU1104,C113,06-24-2023,Absent
A3510,STU1104,C111,26/11/2024,Absent
A3511,STU1104,C110,03-Nov-2023,P
A3512,STU1104,C109,2023-08-07,Late
A3513,STU1104,C107,2023/11/09,Present
A3514,STU1104,C115,24-Sep-2024,Present
A3515,STU1187,C101,22-Sep-2024,A
A3516,STU1187,C110,2023-12-29,Present
A3517,STU1187,C112,10-Jul-2023,A
A3518,STU1187,C101,14-Apr-2023,late 
A3519,STU1187,C107,2023/03/28,present
A3520,STU1060,C104,2024-05-14,present
A3521,STU1060,C125,11-03-2024,ABSENT
A3522,STU1060,C116,02-09-2024,P
A3523,STU1060,C112,14/03/2024,P
A3524,STU1060,C104,25-Mar-2024,present
A3525,STU1060,C105,29-Dec-2023,Present
A3526,STU1009,C123,2023-07-23,ABSENT
A3527,STU1009,C110,11/02/2023,Late
A3528,STU1009,C114,2023-12-06,present
A3529,STU1009,C122,23-Jul-2023,P
A3530,STU1009,C104,07-Mar-2024,late 
A3531,STU1209,C123,05-11-2023,Late
A3532,STU1209,C117,03/02/2024,Absent
A3533,STU1209,C104,22/01/2023,present
A3534,STU1209,C112,2024-05-27,ABSENT
A3535,STU1209,C102,11-25-2024,Late
A3536,STU1209,C120,09-Jan-2023,late 
A3537,STU1209,C110,16-Oct-2023,Absent
A3538,STU1209,C125,15/03/2024,present
A3539,STU1206,C117,11/07/2023,P
A3540,STU1206,C125,04-28-2023,ABSENT
A3541,STU1206,C122,15/03/2024,late 
A3542,STU1206,C123,2023/04/16,present
A3543,STU1206,C107,28/08/2024,ABSENT
A3544,STU1206,C104,16-May-2023,Present
A3545,STU1206,C109,16/07/2023,Late
A3546,STU1206,C101,23/09/2024,Absent
A3547,STU1224,C113,2024/02/22,P
A3548,STU1224,C123,10/10/2024,ABSENT
A3549,STU1224,C111,12-Mar-2024,Present
A3550,STU1033,C114,2024-10-21,P
A3551,STU1033,C104,10-03-2023,P
A3552,STU1033,C112,29-Dec-2024,ABSENT
A3553,STU1033,C111,18/02/2023,Present
A3554,STU1033,C101,02-23-2023,ABSENT
A3555,STU1033,C110,04-28-2024,Absent
A3556,STU1033,C114,07-09-2023,late 
A3557,STU1037,C111,2023-11-08,Absent
A3558,STU1037,C122,2023/01/14,present
A3559,STU1037,C111,01-05-2024,A
A3560,STU1037,C108,10-27-2024,ABSENT
A3561,STU1037,C119,2024-01-29,Absent
A3562,STU1011,C121,2024-09-08,Present
A3563,STU1011,C119,01/11/2024,ABSENT
A3564,STU1011,C123,2024-04-01,Absent
A3565,STU1011,C118,09-25-2024,P
A3566,STU1156,C116,2023/07/26,present
A3567,STU1156,C102,11/05/2023,Late
A3568,STU1156,C118,12-29-2024,A
A3569,STU1156,C112,2024-04-04,Late
A3570,STU1156,C103,09-May-2024,Present
A3571,STU1156,C106,09-05-2024,present
A3572,STU1156,C110,2023/02/16,Present
A3573,STU1156,C126,11/12/2024,Late
A3574,STU1113,C122,2024/06/29,Absent
A3575,STU1113,C106,2024/03/24,Late
A3576,STU1113,C118,04-Feb-2024,P
A3577,STU1113,C107,2023-07-08,present
A3578,STU1113,C119,2023/08/12,Present
A3579,STU1113,C126,09-Jun-2024,P
A3580,STU1122,C108,10-31-2023,Absent
A3581,STU1122,C106,2023-08-18,ABSENT
A3582,STU1122,C110,10/02/2023,P
A3583,STU1122,C105,2023-10-04,ABSENT
A3584,STU1122,C127,2023/08/04,Absent
A3585,STU1054,C121,2023/12/22,A
A3586,STU1054,C111,2023/03/27,P
A3587,STU1054,C124,17-May-2023,P
A3588,STU1002,C102,2024-10-02,A
A3589,STU1002,C108,14/10/2023,P
A3590,STU1002,C101,2024/07/04,Absent
A3591,STU1002,C124,05-Dec-2024,P
A3592,STU1002,C121,2024/10/11,ABSENT
A3593,STU1198,C108,11-29-2023,ABSENT
A3594,STU1198,C119,06-Oct-2024,present
A3595,STU1198,C115,26-Aug-2023,A
A3596,STU1198,C105,2024-05-05,late 
A3597,STU1198,C106,15/04/2024,present
A3598,STU1198,C107,06-Aug-2024,present
A3599,STU1031,C110,01-22-2023,present
A3600,STU1031,C106,2024/02/08,ABSENT
A3601,STU1031,C103,2023-05-27,Late
A3602,STU1031,C108,10-Apr-2024,Absent
A3603,STU1031,C124,23/06/2024,Present
A3604,STU1031,C120,13-Apr-2023,Late
A3605,STU1031,C101,2023-04-23,Present
A3606,STU1031,C105,2023-09-12,P
A3607,STU1078,C121,2024-09-06,Present
A3608,STU1078,C126,2023/04/19,A
A3609,STU1078,C123,29/03/2023,present
A3610,STU1078,C116,30-Jul-2024,present
A3611,STU1123,C111,05/05/2024,ABSENT
A3612,STU1123,C102,07-10-2024,Absent
A3613,STU1123,C101,2023-02-15,P
A3614,STU1123,C104,07-Jun-2024,present
A3615,STU1123,C101,2023-08-18,ABSENT
A3616,STU1062,C113,05-31-2023,P
